name,season,number,airdate,runtime,rating,summary,image_url
The One With the Birthing Video,8,15,2/7/2002,30,{'average': 9.2},Phoebe tries to cheer up a depressed Joey by lending him the world's happiest dog. Ross has yet to tell Mona that Rachel's living with him. Monica and Chandler's romantic Valentine's Day is interrupted when they watch a videotape of Phoebe's friend giving birth.,https://image.tmdb.org/t/p/original/dRwuancw8f7wJr5t3bkct4X5E5P.jpg
The One Where Joey Tells Rachel,8,16,2/28/2002,30,{'average': 9.1},"Ross has trouble understanding Joey's revelation, as does Gunther. However, he comes to his senses and convinces Joey to tell Rachel how he feels. Meanwhile, Phoebe meets Monica's soulmate.",https://image.tmdb.org/t/p/original/4t7nMNohxhwKBUuDI1v93Y9ekWF.jpg
The One With the Tea Leaves,8,17,3/7/2002,30,{'average': 8.8},"Joey has been hiding from Rachel, so she invents a problem at work to draw him into conversation. Phoebe's tea leaves tell her that she's going to meet the man of her dreams, except that the man she meets is a nightmare. Ross tries to retrieve his favorite shirt from Mona's, interrupted when she returns home with a date.",https://image.tmdb.org/t/p/original/aZB8MEwEBktPcL2nr8dqyl1bi0x.jpg
The One in Massapequa,8,18,3/28/2002,30,{'average': 8.7},"Everybody prepares to go out to Long Island for the elder Gellers' 35th wedding anniversary party. Monica wants to write a toast to make everybody cry like Ross's toasts do. Ross and Rachel discover that his parents have told people they're married. Phoebe invites her new boyfriend, Parker, who is extremely enthusiastic.",https://image.tmdb.org/t/p/original/6KO8iJzaNQBbQxYzoJtV1W06T4S.jpg
The One With Joey's Interview,8,19,4/4/2002,30,{'average': 8.2},"Joey prepares for an interview with Soap Opera Digest, although he's afraid of appearing stupid, so he enlists his friends to make sure things go well. During the interview, he reminisces about his past acting experiences, what he does in his spare time, eating and exercising right, his friends, his homosexual tendencies, and his romantic life.",https://image.tmdb.org/t/p/original/yIw1XSopqnujd78Tgm24I2Pzq61.jpg
The One With the Baby Shower,8,20,4/25/2002,30,{'average': 9},"Rachel panics when she realizes that she is not ready to take care of her baby, and reluctantly agrees for her mother to move in with her and Ross to help out. Monica tries desperately to get Mrs. Green to like her. Meanwhile, the guys help Joey practice for his audition as the host of a wild game show called ""Bamboozled.""",https://image.tmdb.org/t/p/original/qQIq9ALRWu2WB2WDMVz7lWNTnQd.jpg
The One With the Cooking Class,8,21,5/2/2002,30,{'average': 9.1},"Monica's restaurant gets a bad review in the Post. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Ross goes on a date with a clerk from a baby store, making Rachel jealous. Chandler prepares for a job interview after Phoebe tells him that he makes a bad first impression.",https://image.tmdb.org/t/p/original/paUWeSKy1BRnh7a1D4hUi8SQnJh.jpg
The One Where Rachel is Late,8,22,5/9/2002,30,{'average': 9.2},"With the release of Joey's movie approaching, he must decide which friend to invite to the premiere. Unfortunately, his pick, Chandler, falls asleep during it. Monica and Phoebe bet on when the baby will be born as Rachel's due date comes and goes.",https://image.tmdb.org/t/p/original/mtyhJQESigpYObHoJDdfTIjnt8g.jpg
"The One Where Rachel Has a Baby, Part 1",8,23,5/16/2002,30,{'average': 9.3},"Rachel and Ross arrive at the hospital. Monica and Chandler decide to have a baby and right away. Mrs. Geller turns up to give Ross her mother's engagement ring; she wants Ross to marry Rachel. Joey can't understand why somebody wouldn't want to be married to Rachel. Phoebe meets a handsome stranger, but can't quite get his room number, so she gets Dr. Drake Ramoray to get it.",https://image.tmdb.org/t/p/original/rk7CtLH2RXUK5LBdr6Mg1YZxn3j.jpg
"The One Where Rachel Has a Baby, Part 2",8,24,5/16/2002,30,{'average': 9.4},"Drake reports to Phoebe. Chandler and Monica look for a room in the hospital to use for a tryst. After 21 hours of labor, Rachel's ready to have the baby. Joey blows it for Phoebe but fixes it just as quickly.",
The One Where No One Proposes,9,1,9/26/2002,30,{'average': 9.1},"Because of a misunderstanding, Rachel finds herself engaged to Joey instead of Ross, who was planning to propose.",https://image.tmdb.org/t/p/original/dNqS2szoMmfgfFttsVZTggXjttz.jpg
The One Where Emma Cries,9,2,10/3/2002,30,{'average': 8.9},Somebody ends up in the hospital when Joey attempts to apologize to Ross for mistakenly asking Rachel to marry him.,https://image.tmdb.org/t/p/original/1WMGVmrp5ZOiLjMTCcx8J7Ws18g.jpg
The One With the Pediatrician,9,3,10/10/2002,30,{'average': 8.9},Rachel's constant calls to Emma's pediatrician force him to reject her as a patient.,https://image.tmdb.org/t/p/original/svtWGUDz560o96lHLSIo0PN8zxS.jpg
The One With the Sharks,9,4,10/17/2002,30,{'average': 8.9},"Phoebe fears losing Mike, and her self-doubt is exacerbated by Ross' foolish comments.",https://image.tmdb.org/t/p/original/nlogeZvRNX0kkN80hhoPAMjMoZT.jpg
The One With Phoebe's Birthday Dinner,9,5,10/31/2002,30,{'average': 9.2},Rachel is afraid to leave Emma with a babysitter.,https://image.tmdb.org/t/p/original/iAN1Ws0X6seDBw9sSq5IeTThXSh.jpg
The One With the Male Nanny,9,6,11/7/2002,30,{'average': 9.4},Ross jealously mocks Rachel's choice of an oversensitive male nanny for Emma.,https://image.tmdb.org/t/p/original/95NzE8ACrk96PtNCM88k1o98wuj.jpg
The One With Ross's Inappropriate Song,9,7,11/14/2002,30,{'average': 9.5},"When Chandler's former romantic rival decides to sell his apartment, Chandler persuades Joey to help him inspect it on the sly.",https://image.tmdb.org/t/p/original/pBnUEJawXmeYZyY32jxvcepvfFY.jpg
The One With Rachel's Other Sister,9,8,11/21/2002,30,{'average': 9.6},"Rachel's self-centered younger sister, Amy, ruins everyone's Thanksgiving dinner with her uncensored observations.",https://image.tmdb.org/t/p/original/kYfo4vNSEDjDu9jhGAPDvJBVNde.jpg
