name,season,number,airdate,runtime,rating,summary,image_url
The Delivery (1),6,17,3/4/2010,30,{'average': 8.3},Pam insists on waiting until after midnight to check in to the hospital; Dwight and Angela make a business agreement to have their own baby.,https://image.tmdb.org/t/p/original/4wjZb7YyWTB1Ao9BjRx8e7UIl7z.jpg
The Delivery (2),6,18,3/4/2010,30,{'average': 8},"After the birth of the baby, Pam has trouble getting the baby to breastfeed. Michael tries to set up other members of the office.",https://image.tmdb.org/t/p/original/56hRdwaPs3rKIJUSEL8RJFA3SgA.jpg
St. Patrick's Day,6,19,3/11/2010,30,{'average': 7.7},Dwight becomes obsessed with a mega desk recreated while Jim and Pam were gone; Michael's attempts to suck up to Jo are unsuccessful.,https://image.tmdb.org/t/p/original/3pJIfZOXxReM3zOoJTv253tRbb3.jpg
New Leads,6,20,3/18/2010,30,{'average': 7.9},Tensions rise in the office when the sales staff thinks they are the top dog.,https://image.tmdb.org/t/p/original/z2956xSFqY2te3F1dWcREzK0h78.jpg
Happy Hour,6,21,3/25/2010,30,{'average': 8.3},Oscar gets the staff to go out after work in order to see Matt from the warehouse. ,https://image.tmdb.org/t/p/original/cHGGrFJD8lyvWeqenTKLEcB1VqP.jpg
Secretary's Day,6,22,4/22/2010,30,{'average': 8.4},Andy tries to create a special secretary's day for Erin but Michael accidentally reveals a secret.,https://image.tmdb.org/t/p/original/8RBNOu7JwQY8OBjquqnnYiVXMFk.jpg
Body Language,6,23,4/29/2010,30,{'average': 8.1},Michael thinks that a new client is interested in him; Dwight tries to recruit different minorities into Sabre executive program.,https://image.tmdb.org/t/p/original/nGdklnVWRdmXpuckdyZTpvjwvt2.jpg
The Cover-Up,6,24,5/6/2010,30,{'average': 8.1},Michael thinks Donna is cheating on him; Darryl tries to set Andy up.,https://image.tmdb.org/t/p/original/ediO7Y2iJDcdmoTEFkHeS3HPTVp.jpg
The Chump,6,25,5/13/2010,30,{'average': 8},Michael doesn't break up with Donna after learning she is married; Jim and Pam struggle to stay awake at work; Dwight and Angela take their baby contract to a mediator. ,
Whistleblower,6,26,5/20/2010,30,{'average': 8},Jo returns to the branch to find who contacted the press about the printer's starting on fire.,
Nepotism,7,1,9/23/2010,30,{'average': 8.1},The staff demands that Michael fire the new assistant who keeps screwing this up.,https://image.tmdb.org/t/p/original/pYQwCiNc9fFJ5k8HnSWgAstfnL0.jpg
Counseling,7,2,9/30/2010,30,{'average': 7.3},Michael has to go to counseling with Toby; Dwight seeks revenge on a local mall; Pam fakes her way into a new position.,https://image.tmdb.org/t/p/original/zD85V6xL5uXGTaZ3KNGy3tARzq7.jpg
Andy's Play,7,3,10/7/2010,30,{'average': 8.1},"Andy invites the entire office to his community theatre production of ""Sweeney Todd'.",https://image.tmdb.org/t/p/original/6dOLWVZ2A0LH8EXyNkigRw3xgLp.jpg
Sex Ed,7,4,10/14/2010,30,{'average': 7.8},Michael contacts all of his former girlfriends thinking he has herpes.,https://image.tmdb.org/t/p/original/cTnT11ycmBXEufPdMSfikF6UUkn.jpg
The Sting,7,5,10/21/2010,30,{'average': 7.7},"Michael, Dwight and Jim arrange a sting on a rival company salesman.",https://image.tmdb.org/t/p/original/iN7UPFwmTD4ZwMwPGMUZhdOnKIn.jpg
Costume Contest,7,6,10/28/2010,30,{'average': 7.9},"While the office celebrates Halloween, Michael comes upset that Darryl went to corporate with an idea; Jim is set on figuring out why Danny didn't call Pam back when they went on some dates.",https://image.tmdb.org/t/p/original/kVP86c3XsmDJ049fQ2rXDwYaNkj.jpg
